ExtractDate,ItemCount,ReturnCode,FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine2,AddressLine3,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores,SchemeType,Longitude,Latitude,AddressLine1
17/08/2013,4378,Success,26444,08/00300/COM,24 Hour Store,Retailers - other,4613,380 Dumbarton Road,Glasgow,G11 6RZ,Improvement Required,fhis_improvement_required_en-GB,17/05/2011,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.308552,55.870951,
17/08/2013,4378,Success,26644,08/00387/COM,24-Jul,Retailers - other,4613,45 Kilmarnock Road,Glasgow,G41 3YN,Improvement Required,fhis_improvement_required_en-GB,04/04/2011,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.281972,55.829295,
17/08/2013,4378,Success,35976,10/00437/COM,26 Hope Street,Pub/bar/nightclub,7843,26 Hope Street,Glasgow,G2 6AA,Pass,fhis_pass_en-GB,09/07/2010,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.258211,55.859302,
17/08/2013,4378,Success,444458,12/00629/COM,278 Coffee House and Sandwich Bar,Takeaway/sandwich shop,7844,278 St Vincent Street,Glasgow,G2 5RL,Pass,fhis_pass_en-GB,11/06/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.265037,55.862637,Storey Basement
17/08/2013,4378,Success,95689,28650/0279/0/000,279 Cafe Bistro,Restaurant/Cafe/Canteen,1,279 Dumbarton Road,Glasgow,G11 6AB,Pass,fhis_pass_en-GB,22/05/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.303939,55.870516,
17/08/2013,4378,Success,97835,30570/0067/0/000,3  In One Xtra,Takeaway/sandwich shop,7844,67 Elmbank Street,Glasgow,G2 4PQ,Improvement Required,fhis_improvement_required_en-GB,24/07/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.268436,55.865576,
17/08/2013,4378,Success,433023,12/00656/COM,3 Bridges Care Home,Hospitals/Childcare/Caring Premises,5,108 Carmunnock Road,Glasgow,G44 4UN,Pass,fhis_pass_en-GB,17/02/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.256196,55.820136,
17/08/2013,4378,Success,79747,19220/0221/0/000,3 Steps To Heaven,Takeaway/sandwich shop,7844,221 Byres Road,Glasgow,G12 8UD,Improvement Required,fhis_improvement_required_en-GB,23/07/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.294404,55.87499,
17/08/2013,4378,Success,110587,40210/0021/0/000,32nd Signal Regiment (v),Restaurant/Cafe/Canteen,1,21 Jardine Street,Glasgow,G20 6JU,Pass,fhis_pass_en-GB,24/05/2011,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.277246,55.877088,
17/08/2013,4378,Success,26812,08/00511/COM,3A's,Retailers - other,4613,277 Dumbarton Road,Glasgow,G11 6AB,Pass,fhis_pass_en-GB,03/11/2010,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.303939,55.870516,
17/08/2013,4378,Success,35635,10/00278/COM,3D Drumchapel,Other catering premises,7841,1 Hecla Avenue,Glasgow,G15 8NA,Pass,fhis_pass_en-GB,27/07/2010,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.372944,55.910817,
17/08/2013,4378,Success,433050,12/00685/COM,3D Drumchapel,Other catering premises,7841,56 Hecla Square,Glasgow,G15 8NH,Awaiting Inspection,fhis_awaiting_inspection_en-GB,09/08/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.374041,55.909385,
17/08/2013,4378,Success,25616,08/00109/COM,5 A Day,Takeaway/sandwich shop,7844,1120 Shettleston Road,Glasgow,G32 7PH,Pass,fhis_pass_en-GB,22/01/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.168992,55.851507,
17/08/2013,4378,Success,23274,07/00683/COM,5 Star Supersave,Retailers - other,4613,140 Royston Road,Glasgow,G21 2PA,Improvement Required,fhis_improvement_required_en-GB,15/05/2009,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.227098,55.869918,
17/08/2013,4378,Success,10859,04/00340/COM,7 Day Catering Ltd  -Staff Canteen,Restaurant/Cafe/Canteen,1,53 Coltness Street,Glasgow,G33 4JD,Pass,fhis_pass_en-GB,13/09/2011,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.152553,55.863938,
17/08/2013,4378,Success,126175,55050/0018/0/000,7 Spices,Takeaway/sandwich shop,7844,18 Quarrywood Avenue,Glasgow,G21 3EN,Pass,fhis_pass_en-GB,13/03/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.200987,55.885288,
17/08/2013,4378,Success,121586,50260/0828/0/000,7 Star Spices,Takeaway/sandwich shop,7844,828 Mosspark Drive,Glasgow,G52 3DA,Pass,fhis_pass_en-GB,17/01/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.344164,55.841723,
17/08/2013,4378,Success,104709,35770/0727/0/000,727 Fast Foods,Takeaway/sandwich shop,7844,727 Great Western Road,Glasgow,G12 8QX,Improvement Required,fhis_improvement_required_en-GB,11/03/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.289157,55.87738,
17/08/2013,4378,Success,406755,04/00039/COM,7th Heaven,Restaurant/Cafe/Canteen,1,15 Elmbank Gardens,Glasgow,G2 4NQ,Pass,fhis_pass_en-GB,06/06/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.270439,55.865108,
17/08/2013,4378,Success,556088,13/00364/COM,916 - Diner,Restaurant/Cafe/Canteen,1,916 Sauchiehall Street,Glasgow,G3 7TF,Awaiting Inspection,fhis_awaiting_inspection_en-GB,06/06/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.284479,55.865774,
17/08/2013,4378,Success,84960,21160/1249/0/000,A A Foodstores,Retailers - other,4613,1249 Cathcart Road,Glasgow,G42 9HA,Pass,fhis_pass_en-GB,03/08/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.260742,55.822542,
17/08/2013,4378,Success,31008,09/00379/COM,A and M Convenience Store,Retailers - other,4613,2162 Dumbarton Road,Glasgow,G14 0JJ,Improvement Required,fhis_improvement_required_en-GB,28/05/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.372456,55.885796,
17/08/2013,4378,Success,129523,60360/0100/0/000,A K Brothers,Retailers - other,4613,100 Springboig Road,Glasgow,G32 0JX,Pass,fhis_pass_en-GB,05/11/2009,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.155956,55.859582,
17/08/2013,4378,Success,128878,59170/1013/0/000,A Lennon Family Butchers,Manufacturers/packers,7839,1013 Shettleston Road,Glasgow,G32 7PB,Pass,fhis_pass_en-GB,15/03/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.169989,55.851912,
17/08/2013,4378,Success,406810,12/00531/COM,A Little Promise,Mobile caterer,7846,34 Priory Road,Glasgow,G13 2SZ,Awaiting Inspection,fhis_awaiting_inspection_en-GB,18/06/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.337332,55.894988,
17/08/2013,4378,Success,64469,14330/0012/0/000,A Morrow (butcher),Retailers - other,4613,12 Barholm Square,Glasgow,G33 5EE,Pass,fhis_pass_en-GB,15/04/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.145908,55.872969,
17/08/2013,4378,Success,83823,20640/0428/0/000,A Muir Quality Butchers,Manufacturers/packers,7839,428 Carntynehall Road,Glasgow,G32 6LH,Pass,fhis_pass_en-GB,11/03/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.181603,55.862428,
17/08/2013,4378,Success,60848,13310/0007/0/000,A R Traders,Retailers - other,4613,7 Bain Street,Glasgow,G40 2JZ,Pass,fhis_pass_en-GB,04/06/2010,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.234918,55.855225,
17/08/2013,4378,Success,562685,13/00525/COM,A S Fast Food Ltd T/A Chapati 2,Takeaway/sandwich shop,7844,1576 Dumbarton Road,Glasgow,G14 9DB,Improvement Required,fhis_improvement_required_en-GB,02/06/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.352911,55.880194,
17/08/2013,4378,Success,480300,12/00972/COM,A Taste Of Poland,Retailers - other,4613,38 Dalmarnock Road,Glasgow,G40 4AA,Improvement Required,fhis_improvement_required_en-GB,13/02/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.225935,55.848198,
17/08/2013,4378,Success,129547,60390/0257/0/000,A Weir - Butcher,Retailers - other,4613,257 Springburn Way,Glasgow,G21 1DX,Pass,fhis_pass_en-GB,27/02/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.229533,55.883391,
17/08/2013,4378,Success,124656,53150/0380/0/000,A1 Off Sales,Retailers - other,4613,380 Paisley Road West,Glasgow,G51 1BG,Pass,fhis_pass_en-GB,16/12/2010,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.295491,55.851971,
17/08/2013,4378,Success,45248,10980/0213/0/000,AA Continental Foods,Retailers - other,4613,213 Allison Street,Glasgow,G42 8RU,Pass,fhis_pass_en-GB,09/10/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.261455,55.836199,
17/08/2013,4378,Success,460449,9666,Abbeyfield House,Hospitals/Childcare/Caring Premises,5,51 Reidhouse Street,Glasgow,G21 4LS,Pass,fhis_pass_en-GB,03/10/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.226181,55.883775,
17/08/2013,4378,Success,101964,33580/0075/0/000,Abbey's Fish Bar,Takeaway/sandwich shop,7844,75 Gartcraig Road,Glasgow,G33 2NW,Pass,fhis_pass_en-GB,12/03/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.1836,55.86526,
17/08/2013,4378,Success,44051,10710/0121/0/000,Abduls Halal Butchers,Retailers - other,4613,121 Albert Drive,Glasgow,G41 2SU,Pass,fhis_pass_en-GB,09/02/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.270098,55.841459,
17/08/2013,4378,Success,101924,33550/0195/0/000,Abercorn School,School/college/university,7845,195 Garscube Road,Glasgow,G4 9QH,Pass,fhis_pass_en-GB,25/06/2010,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.261536,55.871419,
17/08/2013,4378,Success,31114,09/00467/COM,Abercromby Cafe,Restaurant/Cafe/Canteen,1,168 Abercromby Street,Glasgow,G40 2RZ,Pass,fhis_pass_en-GB,08/10/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.229148,55.852688,
17/08/2013,4378,Success,36313,10/00867/COM,Abercromby Catering And Vending,Restaurant/Cafe/Canteen,1,8 Arrol Road,Glasgow,G40 3DQ,Pass,fhis_pass_en-GB,12/02/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.213875,55.84625,
17/08/2013,4378,Success,35871,10/00388/COM,Aby's,Retailers - other,4613,346 Duke Street,Glasgow,G31 1QZ,Improvement Required,fhis_improvement_required_en-GB,21/06/2010,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.222143,55.858171,
17/08/2013,4378,Success,35898,10/00402/COM,A-Cakes,Restaurant/Cafe/Canteen,1,39 Milnbank Street,Glasgow,G31 3AQ,Awaiting Inspection,fhis_awaiting_inspection_en-GB,28/06/2010,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.221675,55.864803,Flat 3/1
17/08/2013,4378,Success,15671,05/00381/COM,Accord Centre,Other catering premises,7841,35 Springfield Road,Glasgow,G40 3EL,Improvement Required,fhis_improvement_required_en-GB,20/09/2011,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.21425,55.841615,
17/08/2013,4378,Success,30031,09/00138/COM,Acorn Hotels,Hotel/bed & breakfast/guest house,7842,140 Elderslie Street,Glasgow,G3 7AW,Pass,fhis_pass_en-GB,13/04/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.276005,55.865724,
17/08/2013,4378,Success,86545,22040/0006/0/000,Acorn Nursery,Hospitals/Childcare/Caring Premises,5,6 Claremont Terrace,Glasgow,,Pass,fhis_pass_en-GB,22/05/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,,,
17/08/2013,4378,Success,31041,09/00403/COM,Acre Tennants And Residents Association,Other catering premises,7841,3 Acre Drive,Glasgow,G20 0TW,Improvement Required,fhis_improvement_required_en-GB,30/05/2009,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.30582,55.903582,
17/08/2013,4378,Success,25675,08/00117/COM,Action For Children,Hospitals/Childcare/Caring Premises,5,18 Stoneside Drive,Glasgow,G43 1JF,Pass,fhis_pass_en-GB,09/08/2010,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.304857,55.817481,
17/08/2013,4378,Success,108515,38760/0111/0/000,Ad - Lib,Pub/bar/nightclub,7843,111 Hope Street,Glasgow,G2 6LL,Pass,fhis_pass_en-GB,09/02/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.259448,55.86079,
17/08/2013,4378,Success,537382,13/00321/COM,Ad Lib,Restaurant/Cafe/Canteen,1,33 Ingram Street,Glasgow,G1 1HA,Pass,fhis_pass_en-GB,23/07/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.242358,55.859008,
17/08/2013,4378,Success,26831,08/00549/COM,Adam Tandoori,Restaurant/Cafe/Canteen,1,917 Springfield Road,Glasgow,G31 4HZ,Awaiting Inspection,fhis_awaiting_inspection_en-GB,19/01/2011,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.198409,55.8513,
17/08/2013,4378,Success,118059,47390/0249/0/000,Adeel Tandoori,Takeaway/sandwich shop,7844,249 Maryhill Road,Glasgow,G20 7YB,Pass,fhis_pass_en-GB,17/04/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.271236,55.875474,
17/08/2013,4378,Success,65861,14830/0209/3/002,Adelaides Nursery / Adelaides Guest House,Hospitals/Childcare/Caring Premises,5,209 Bath Street,Glasgow,G2 4HZ,Pass,fhis_pass_en-GB,23/03/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.263948,55.864518,
17/08/2013,4378,Success,88709,23390/0016/0/000,Adelphi Centre Bridgend Nursery,Hospitals/Childcare/Caring Premises,5,16 Commercial Road,Glasgow,,Pass,fhis_pass_en-GB,03/11/2011,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.246138,55.869652,
17/08/2013,4378,Success,132795,64990/0015/0/000,Adelphi Nursery School,Hospitals/Childcare/Caring Premises,5,40 Waddell Court,Glasgow,G5 0QA,Pass,fhis_pass_en-GB,28/10/2011,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.241955,55.849516,
17/08/2013,4378,Success,571726,13/00565/COM,Afghan Village,Takeaway/sandwich shop,7844,607 Pollokshaws Road,Glasgow,G41 2QQ,Improvement Required,fhis_improvement_required_en-GB,08/07/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.268025,55.837956,
17/08/2013,4378,Success,29944,09/00128/COM,African Embassy,Retailers - other,4613,293 Duke Street,Glasgow,G31 1HX,Improvement Required,fhis_improvement_required_en-GB,18/02/2009,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.224557,55.85846,
17/08/2013,4378,Success,548296,13/00351/COM,Agora Greek Delicacies,Distributors/Transporters,7,9 Foundry Street,Glasgow,G21 4PR,Awaiting Inspection,fhis_awaiting_inspection_en-GB,13/05/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.223761,55.880601,
17/08/2013,4378,Success,91632,25410/0995/0/000,Agra Restaurant,Restaurant/Cafe/Canteen,1,995 Crow Road,Glasgow,G13 1JP,Pass,fhis_pass_en-GB,13/07/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.32204,55.893903,
17/08/2013,4378,Success,18360,06/00113/COM,Ahi Al Bait Society,Other catering premises,7841,25 Woodside Place,Glasgow,G3 7QL,Pass,fhis_pass_en-GB,24/03/2006,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.275036,55.866928,
17/08/2013,4378,Success,70204,15900/0267/0/000,Ahmed Bros,Retailers - other,4613,267 Bilsland Drive,Glasgow,G20 9RE,Pass,fhis_pass_en-GB,04/06/2010,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.274939,55.887404,
17/08/2013,4378,Success,18903,06/00270/COM,Ahmed Newsagent,Retailers - other,4613,130 Main Street,Glasgow,G69 6AE,Pass,fhis_pass_en-GB,10/10/2011,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.109489,55.850484,
17/08/2013,4378,Success,75026,17420/0101/0/000,Ailsa Craig Nursing Home,Hospitals/Childcare/Caring Premises,5,101 Brand Street,Glasgow,G51 1AP,Pass,fhis_pass_en-GB,24/06/2010,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.294437,55.85306,
17/08/2013,4378,Success,315982,12/00345/COM,AJ's Sandwich Shop,Restaurant/Cafe/Canteen,1,14 Tollcross Road,Glasgow,G31 4XD,Improvement Required,fhis_improvement_required_en-GB,20/06/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.19669,55.850836,
17/08/2013,4378,Success,360826,12/00388/COM,Akbars Balti Restaurant,Restaurant/Cafe/Canteen,1,573 Sauchiehall Street,Glasgow,G3 7PQ,Pass,fhis_pass_en-GB,09/10/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.273083,55.866048,
17/08/2013,4378,Success,433022,12/00655/COM,Akwaba Scotland,Restaurant/Cafe/Canteen,1,101 Stonyhurst Street,Glasgow,G22 5BS,Awaiting Inspection,fhis_awaiting_inspection_en-GB,08/08/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.253623,55.881343,
17/08/2013,4378,Success,22744,07/00292/COM,Al Noor Superstore,Retailers - other,4613,275 Maxwell Road,Glasgow,G41 1TE,Improvement Required,fhis_improvement_required_en-GB,11/02/2011,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.272655,55.843955,
17/08/2013,4378,Success,104635,35740/0046/0/000,Alamo Guest House,Hotel/bed & breakfast/guest house,7842,46 Gray Street,Glasgow,G3 7SE,Pass,fhis_pass_en-GB,29/08/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.28597,55.866941,
17/08/2013,4378,Success,125761,54310/1121/0/000,Alan Beveridge,Retailers - other,4613,1121 Pollokshaws Road,Glasgow,G41 3YH,Pass,fhis_pass_en-GB,22/01/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.280585,55.830435,
17/08/2013,4378,Success,406799,12/00515/COM,Alan's Chinese Takeaway,Takeaway/sandwich shop,7844,66 Linkwood Drive,Glasgow,G15 7DA,Awaiting Inspection,fhis_awaiting_inspection_en-GB,14/06/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.371656,55.911741,Unit C
17/08/2013,4378,Success,36482,10/01152/COM,Alba Cafe,Restaurant/Cafe/Canteen,1,481 Great Western Road,Glasgow,G12 8HL,Pass,fhis_pass_en-GB,17/05/2011,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.282144,55.875281,
17/08/2013,4378,Success,22585,07/00235/COM,Alba Catering Ltd,Restaurant/Cafe/Canteen,1,2 Haghill Road,Glasgow,G31 3SR,Pass,fhis_pass_en-GB,08/11/2011,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.202495,55.858569,
17/08/2013,4378,Success,31056,09/00421/COM,Alba Lodge Guest House,Hotel/bed & breakfast/guest house,7842,232 Renfrew Street,Glasgow,G3 6TX,Pass,fhis_pass_en-GB,08/06/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.266089,55.866716,
17/08/2013,4378,Success,188093,12/00005/COM,Albacore,Restaurant/Cafe/Canteen,1,200 Carlisle Street,Glasgow,,Pass,fhis_pass_en-GB,29/11/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.242509842,55.85779953,Canteen
17/08/2013,4378,Success,19526,06/00568/COM,Albacore (Scottish Qualifications Authority),Restaurant/Cafe/Canteen,1,58 Robertson Street,Glasgow,G2 8DU,Pass,fhis_pass_en-GB,22/10/2009,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.260464,55.857095,
17/08/2013,4378,Success,49104,11/00971/COM,Alberto's,Restaurant/Cafe/Canteen,1,506 Alexandra Parade,Glasgow,G31 3BQ,Pass,fhis_pass_en-GB,15/05/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.218008,55.863548,
